iter	Passed	Remaining
848	5592	994
849	5596	987
850	5601	980
851	5606	973
852	5611	967
853	5616	960
854	5621	953
855	5626	946
856	5631	939
857	5637	932
858	5641	925
859	5646	919
860	5652	912
861	5657	905
862	5662	898
863	5667	892
864	5673	885
865	5678	878
866	5682	871
867	5687	864
868	5693	858
869	5700	851
870	5706	845
871	5712	838
872	5717	831
873	5722	824
874	5728	818
875	5733	811
876	5737	804
877	5742	797
878	5748	791
879	5753	784
880	5758	777
881	5763	771
882	5768	764
883	5774	757
884	5780	751
885	5786	744
886	5792	737
887	5799	731
888	5805	724
889	5812	718
890	5819	711
891	5825	705
892	5831	698
893	5837	692
894	5843	685
895	5849	678
896	5855	672
897	5861	665
898	5866	659
899	5870	652
900	5875	645
901	5880	638
902	5885	632
903	5890	625
904	5896	618
905	5902	612
906	5907	605
907	5912	599
908	5917	592
909	5923	585
910	5929	579
911	5935	572
912	5940	566
913	5944	559
914	5949	552
915	5955	546
916	5960	539
917	5964	532
918	5970	526
919	5975	519
920	5980	512
921	5985	506
922	5991	499
923	5997	493
924	6003	486
925	6008	480
926	6012	473
927	6019	467
928	6024	460
929	6029	453
930	6034	447
931	6039	440
932	6045	434
933	6051	427
934	6057	421
935	6064	414
936	6069	408
937	6073	401
938	6079	394
939	6084	388
940	6090	381
941	6095	375
942	6099	368
943	6105	362
944	6111	355
945	6116	349
946	6121	342
947	6127	336
948	6132	329
949	6138	323
950	6143	316
951	6147	309
952	6154	303
953	6160	297
954	6166	290
955	6172	284
956	6178	277
957	6184	271
958	6189	264
959	6196	258
960	6203	251
961	6209	245
962	6216	238
963	6223	232
964	6229	225
965	6235	219
966	6241	213
967	6248	206
968	6254	200
969	6261	193
970	6267	187
971	6274	180
972	6280	174
973	6287	167
974	6293	161
975	6299	154
976	6305	148
977	6311	141
978	6316	135
979	6322	129
980	6327	122
981	6333	116
982	6338	109
983	6344	103
984	6350	96
985	6357	90
986	6363	83
987	6369	77
988	6375	70
989	6382	64
990	6388	58
991	6394	51
992	6400	45
993	6407	38
994	6413	32
995	6419	25
996	6424	19
997	6430	12
998	6436	6
999	6443	0
